city,country,Rent_Studio_Center,Transport_Monthly_Pass,Internet_60Mbps,Meal_Inexpensive,Meal_Restaurant_3Course,Transport_OneWay,Taxi_Start,Beer_Domestic,Cappuccino,Cinema,Avg_Monthly_Net_Salary,University,Program,Level,Duration_Years,Tuition_USD,Living_Cost_Index,Rent_USD,Visa_Fee_USD,Insurance_USD,Exchange_Rate,Cost_of_Living_Index,Purchasing_Power_Index,Student_Score,Tourist_Score,City_Is_Unique,Rent_to_Income_Ratio,Daily_Survival_Budget
kabul,afghanistan,108.92,15.25,715.63,1.69,5.65,0.23,0.56,4.1,0.93,1.86,195.86,No University Listed,,,,,,,,,,,,95.69,94.56,True,55.61,3.08
durres,albania,279.42,10.81,17.57,5.41,27.03,0.36,1.88,1.35,1.08,2.88,350.17,No University Listed,,,,,,,,,,,,95.53,86.37,True,79.8,7.21
tirana,albania,431.27,14.42,15.95,5.86,36.04,0.36,2.7,1.8,1.41,3.15,463.59,No University Listed,,,,,,,,,,37.25,35.89,93.46,80.99,True,93.03,7.99
vlore,albania,211.97,9.01,13.02,4.51,22.53,0.29,2.7,1.8,1.24,2.88,383.04,No University Listed,,,,,,,,,,,,96.5,83.39,True,55.34,6.33
algiers,algeria,234.56,10.85,27.77,2.53,21.7,0.29,0.36,1.81,1.0,2.39,285.56,University of Science and Technology,Computer Science,Bachelor,3.0,1200.0,38.5,250.0,80.0,200.0,137.5,33.44,36.42,96.37,91.86,True,82.14,4.11
constantine,algeria,147.07,10.85,69.32,2.53,14.47,0.29,0.29,2.1,0.82,2.31,269.43,University of Constantine,Data Analytics,PhD,4.0,1300.0,35.8,200.0,80.0,200.0,137.5,,,96.73,93.09,True,54.59,3.93
setif,algeria,101.26,4.34,29.53,1.63,14.47,0.18,0.22,0.69,0.3,2.03,226.63,No University Listed,,,,,,,,,,,,98.52,97.24,True,44.68,2.29
buenos aires,argentina,311.84,10.0,21.87,6.12,25.0,0.15,0.52,1.92,1.78,2.0,403.51,University of Buenos Aires,Software Engineering,Bachelor,5.0,0.0,42.6,400.0,150.0,300.0,821.5,38.57,59.76,96.99,89.14,True,77.28,8.2
buenos aires,argentina,311.84,10.0,21.87,6.12,25.0,0.15,0.52,1.92,1.78,2.0,403.51,University of Buenos Aires,Computer Science,PhD,4.0,0.0,42.5,350.0,90.0,280.0,275.0,38.57,59.76,96.99,89.14,False,77.28,8.2
cordoba,argentina,214.84,26.09,20.84,5.0,20.0,0.65,0.5,1.5,1.5,2.45,522.22,National University of Cordoba,Data Science,Master,2.0,0.0,39.8,280.0,90.0,280.0,275.0,,,94.75,89.58,True,41.14,7.8
yerevan,armenia,976.89,10.99,19.41,7.58,37.9,0.25,0.25,1.52,2.82,2.15,526.47,No University Listed,,,,,,,,,,33.16,33.43,90.22,85.68,True,185.55,10.9
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Bachelor,3.0,32800.0,68.5,1100.0,450.0,650.0,1.52,72.92,127.17,58.64,50.13,True,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Bachelor,3.0,39200.0,67.5,1400.0,450.0,650.0,1.52,72.92,127.17,53.99,50.13,False,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,Master,2.0,42200.0,67.5,1400.0,450.0,650.0,1.52,72.92,127.17,51.8,50.13,False,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Computer Science,PhD,4.0,32200.0,67.5,1400.0,450.0,650.0,1.52,72.92,127.17,59.08,50.13,False,26.96,21.73
adelaide,australia,1117.53,71.36,48.5,12.57,67.96,2.89,1.65,5.44,3.38,26.61,4144.98,University of Adelaide,Chemistry,PhD,4.0,28000.0,64.5,1000.0,450.0,650.0,1.52,72.92,127.17,62.14,50.13,False,26.96,21.73
ballarat,australia,1246.39,44.32,52.73,13.59,84.95,3.35,1.25,4.76,3.06,24.98,2812.7,Federation University,Computer Science,Bachelor,3.0,32800.0,63.5,1000.0,450.0,650.0,1.52,,,62.59,50.97,True,44.31,23.35
ballarat,australia,1246.39,44.32,52.73,13.59,84.95,3.35,1.25,4.76,3.06,24.98,2812.7,Federation University,Computer Science,Master,2.0,35800.0,63.5,1000.0,450.0,650.0,1.52,,,60.41,50.97,False,44.31,23.35
ballarat,australia,1246.39,44.32,52.73,13.59,84.95,3.35,1.25,4.76,3.06,24.98,2812.7,Federation University,Computer Science,PhD,4.0,25800.0,63.5,1000.0,450.0,650.0,1.52,,,67.68,50.97,False,44.31,23.35
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,University of Queensland,Computer Science,Bachelor,3.0,40500.0,69.2,1500.0,450.0,650.0,1.52,70.46,134.54,41.22,47.72,True,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,University of Queensland,Computer Science,Master,2.0,43500.0,69.2,1500.0,450.0,650.0,1.52,70.46,134.54,39.04,47.72,False,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,University of Queensland,Computer Science,PhD,4.0,33500.0,69.2,1500.0,450.0,650.0,1.52,70.46,134.54,46.32,47.72,False,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,Queensland University of Technology,Computer Science,Bachelor,3.0,38200.0,69.2,1400.0,450.0,650.0,1.52,70.46,134.54,42.9,47.72,False,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,Queensland University of Technology,Computer Science,Master,2.0,41200.0,69.2,1400.0,450.0,650.0,1.52,70.46,134.54,40.71,47.72,False,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,Queensland University of Technology,Computer Science,PhD,4.0,31200.0,69.2,1400.0,450.0,650.0,1.52,70.46,134.54,47.99,47.72,False,32.63,24.07
brisbane,australia,1332.28,134.56,51.29,13.59,67.96,3.57,1.47,6.12,3.34,27.18,4082.97,University of Queensland,Data Science,Master,2.0,32000.0,68.7,1200.0,450.0,650.0,1.52,70.46,134.54,47.41,47.72,False,32.63,24.07
cairns,australia,790.01,101.94,52.33,15.97,67.28,2.65,1.54,5.78,3.57,30.58,3177.79,No University Listed,,,,,,,,,,,,68.45,48.01,True,24.86,24.84
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,Australian National University,Climate Science,PhD,4.0,29800.0,70.2,1400.0,450.0,650.0,1.52,69.88,153.77,58.72,52.2,True,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,Australian National University,Computer Science,Bachelor,3.0,41200.0,68.9,1600.0,450.0,650.0,1.52,69.88,153.77,50.42,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,Australian National University,Computer Science,Master,2.0,44200.0,68.9,1600.0,450.0,650.0,1.52,69.88,153.77,48.24,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,Australian National University,Computer Science,PhD,4.0,34000.0,68.9,1600.0,450.0,650.0,1.52,69.88,153.77,55.66,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,University of Canberra,Computer Science,Bachelor,3.0,34800.0,68.9,1500.0,450.0,650.0,1.52,69.88,153.77,55.08,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,University of Canberra,Computer Science,Master,2.0,37800.0,68.9,1500.0,450.0,650.0,1.52,69.88,153.77,52.9,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,University of Canberra,Computer Science,PhD,4.0,27800.0,68.9,1500.0,450.0,650.0,1.52,69.88,153.77,60.18,52.2,False,34.67,23.3
canberra,australia,1536.53,71.36,51.28,15.63,74.75,2.19,1.47,6.46,3.29,23.79,4432.43,Australian National University,Computer Science,PhD,4.0,33000.0,69.8,1300.0,450.0,650.0,1.52,69.88,153.77,56.39,52.2,False,34.67,23.3
darwin,australia,1062.41,43.14,60.68,14.27,74.75,2.04,1.05,6.8,3.46,26.5,4728.33,Charles Darwin University,Information Systems,Bachelor,3.0,29800.0,64.5,900.0,450.0,650.0,1.52,72.47,122.21,65.9,51.49,True,22.47,21.81
geelong,australia,1398.52,54.37,48.41,10.87,54.37,1.82,1.25,5.44,3.4,23.79,3055.43,No University Listed,,,,,,,,,,,,75.98,57.36,True,45.77,17.91
gold coast,australia,1410.94,108.73,50.37,13.59,61.16,3.4,1.7,5.44,3.45,25.48,3758.45,Griffith University,Information Technology,Bachelor,3.0,31200.0,67.5,1100.0,450.0,650.0,1.52,64.53,129.83,51.98,49.79,True,37.54,23.84
gold coast,australia,1410.94,108.73,50.37,13.59,61.16,3.4,1.7,5.44,3.45,25.48,3758.45,Griffith University,Computer Science,Bachelor,3.0,35200.0,68.5,1400.0,450.0,650.0,1.52,64.53,129.83,49.07,49.79,False,37.54,23.84
gold coast,australia,1410.94,108.73,50.37,13.59,61.16,3.4,1.7,5.44,3.45,25.48,3758.45,Griffith University,Computer Science,Master,2.0,38200.0,68.5,1400.0,450.0,650.0,1.52,64.53,129.83,46.89,49.79,False,37.54,23.84
gold coast,australia,1410.94,108.73,50.37,13.59,61.16,3.4,1.7,5.44,3.45,25.48,3758.45,Griffith University,Computer Science,PhD,4.0,28200.0,68.5,1400.0,450.0,650.0,1.52,64.53,129.83,54.17,49.79,False,37.54,23.84
gold coast,australia,1410.94,108.73,50.37,13.59,61.16,3.4,1.7,5.44,3.45,25.48,3758.45,Griffith University,Data Science,Master,2.0,29000.0,65.4,1100.0,450.0,650.0,1.52,64.53,129.83,53.58,49.79,False,37.54,23.84
hobart,australia,900.44,62.15,61.16,17.74,67.96,2.17,2.04,6.12,3.48,19.03,4473.86,University of Tasmania,Data Science,Master,2.0,30800.0,65.4,950.0,450.0,650.0,1.52,69.1,124.03,62.76,53.75,True,20.13,25.56
hobart,australia,900.44,62.15,61.16,17.74,67.96,2.17,2.04,6.12,3.48,19.03,4473.86,University of Tasmania,Computer Science,Bachelor,3.0,35800.0,64.5,1200.0,450.0,650.0,1.52,69.1,124.03,59.12,53.75,False,20.13,25.56
hobart,australia,900.44,62.15,61.16,17.74,67.96,2.17,2.04,6.12,3.48,19.03,4473.86,University of Tasmania,Computer Science,Master,2.0,38800.0,64.5,1200.0,450.0,650.0,1.52,69.1,124.03,56.93,53.75,False,20.13,25.56
hobart,australia,900.44,62.15,61.16,17.74,67.96,2.17,2.04,6.12,3.48,19.03,4473.86,University of Tasmania,Computer Science,PhD,4.0,28800.0,64.5,1200.0,450.0,650.0,1.52,69.1,124.03,64.21,53.75,False,20.13,25.56
hobart,australia,900.44,62.15,61.16,17.74,67.96,2.17,2.04,6.12,3.48,19.03,4473.86,University of Tasmania,Physics,Bachelor,3.0,26000.0,62.1,900.0,450.0,650.0,1.52,69.1,124.03,66.25,53.75,False,20.13,25.56
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,University of Melbourne,Engineering,Master,2.0,42000.0,71.2,1400.0,450.0,650.0,1.52,74.53,131.85,44.87,47.51,True,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,University of Melbourne,Computer Science,Bachelor,3.0,42500.0,72.8,1800.0,450.0,650.0,1.52,74.53,131.85,44.51,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,University of Melbourne,Computer Science,Master,2.0,45800.0,72.8,1800.0,450.0,650.0,1.52,74.53,131.85,42.11,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,University of Melbourne,Computer Science,PhD,4.0,35000.0,72.8,1800.0,450.0,650.0,1.52,74.53,131.85,49.97,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,Monash University,Computer Science,Bachelor,3.0,39800.0,72.8,1700.0,450.0,650.0,1.52,74.53,131.85,46.47,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,Monash University,Computer Science,Master,2.0,42800.0,72.8,1700.0,450.0,650.0,1.52,74.53,131.85,44.29,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,Monash University,Computer Science,PhD,4.0,32800.0,72.8,1700.0,450.0,650.0,1.52,74.53,131.85,51.57,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,RMIT University,Computer Science,Bachelor,3.0,37200.0,72.8,1600.0,450.0,650.0,1.52,74.53,131.85,48.37,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,RMIT University,Computer Science,Master,2.0,40200.0,72.8,1600.0,450.0,650.0,1.52,74.53,131.85,46.18,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,RMIT University,Computer Science,PhD,4.0,30200.0,72.8,1600.0,450.0,650.0,1.52,74.53,131.85,53.46,47.51,False,31.7,25.12
melbourne,australia,1284.94,108.05,51.57,15.63,81.55,3.13,1.22,6.8,3.23,27.18,4052.92,University of Melbourne,Artificial Intelligence,PhD,4.0,29000.0,72.4,1500.0,450.0,650.0,1.52,74.53,131.85,54.33,47.51,False,31.7,25.12
newcastle,australia,1475.44,135.92,48.42,14.27,74.75,2.04,1.49,5.78,3.34,27.18,2820.26,University of Newcastle,Computer Engineering,Bachelor,4.0,31500.0,66.8,1000.0,450.0,650.0,1.52,71.42,142.12,46.82,51.49,True,52.32,21.69
newcastle,australia,1475.44,135.92,48.42,14.27,74.75,2.04,1.49,5.78,3.34,27.18,2820.26,University of Newcastle,Computer Science,Bachelor,3.0,36200.0,66.2,1300.0,450.0,650.0,1.52,71.42,142.12,43.4,51.49,False,52.32,21.69
newcastle,australia,1475.44,135.92,48.42,14.27,74.75,2.04,1.49,5.78,3.34,27.18,2820.26,University of Newcastle,Computer Science,Master,2.0,39200.0,66.2,1300.0,450.0,650.0,1.52,71.42,142.12,41.22,51.49,False,52.32,21.69
newcastle,australia,1475.44,135.92,48.42,14.27,74.75,2.04,1.49,5.78,3.34,27.18,2820.26,University of Newcastle,Computer Science,PhD,4.0,29200.0,66.2,1300.0,450.0,650.0,1.52,71.42,142.12,48.49,51.49,False,52.32,21.69
newcastle,australia,1475.44,135.92,48.42,14.27,74.75,2.04,1.49,5.78,3.34,27.18,2820.26,University of Newcastle,Chemistry,Master,2.0,27000.0,63.2,950.0,450.0,650.0,1.52,71.42,142.12,50.1,51.49,False,52.32,21.69
perth,australia,1229.79,91.55,53.26,16.99,67.96,2.72,1.16,6.8,3.36,27.18,4255.91,University of Western Australia,Software Engineering,Master,2.0,34500.0,69.8,1200.0,450.0,650.0,1.52,75.09,139.93,53.41,50.0,True,28.9,25.79
perth,australia,1229.79,91.55,53.26,16.99,67.96,2.72,1.16,6.8,3.36,27.18,4255.91,University of Western Australia,Computer Science,Bachelor,3.0,38800.0,68.2,1500.0,450.0,650.0,1.52,75.09,139.93,50.28,50.0,False,28.9,25.79
perth,australia,1229.79,91.55,53.26,16.99,67.96,2.72,1.16,6.8,3.36,27.18,4255.91,University of Western Australia,Computer Science,Master,2.0,41800.0,68.2,1500.0,450.0,650.0,1.52,75.09,139.93,48.1,50.0,False,28.9,25.79
perth,australia,1229.79,91.55,53.26,16.99,67.96,2.72,1.16,6.8,3.36,27.18,4255.91,University of Western Australia,Computer Science,PhD,4.0,31800.0,68.2,1500.0,450.0,650.0,1.52,75.09,139.93,55.38,50.0,False,28.9,25.79
perth,australia,1229.79,91.55,53.26,16.99,67.96,2.72,1.16,6.8,3.36,27.18,4255.91,University of Western Australia,Physics,Master,2.0,30000.0,67.2,1100.0,450.0,650.0,1.52,75.09,139.93,56.69,50.0,False,28.9,25.79
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Sydney,Business,Bachelor,3.0,35000.0,72.8,1600.0,450.0,650.0,1.52,79.93,128.25,41.03,46.84,True,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Sydney,Computer Science,Bachelor,3.0,41800.0,74.5,2000.0,450.0,650.0,1.52,79.93,128.25,36.08,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Sydney,Computer Science,Master,2.0,44900.0,74.5,2000.0,450.0,650.0,1.52,79.93,128.25,33.83,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Sydney,Computer Science,PhD,4.0,34500.0,74.5,2000.0,450.0,650.0,1.52,79.93,128.25,41.4,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of New South Wales,Computer Science,Bachelor,3.0,40200.0,74.5,1900.0,450.0,650.0,1.52,79.93,128.25,37.25,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of New South Wales,Computer Science,Master,2.0,43200.0,74.5,1900.0,450.0,650.0,1.52,79.93,128.25,35.07,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of New South Wales,Computer Science,PhD,4.0,33200.0,74.5,1900.0,450.0,650.0,1.52,79.93,128.25,42.34,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Technology Sydney,Computer Science,Bachelor,3.0,37800.0,74.5,1800.0,450.0,650.0,1.52,79.93,128.25,39.0,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Technology Sydney,Computer Science,Master,2.0,40800.0,74.5,1800.0,450.0,650.0,1.52,79.93,128.25,36.81,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Technology Sydney,Computer Science,PhD,4.0,30800.0,74.5,1800.0,450.0,650.0,1.52,79.93,128.25,44.09,46.84,False,36.74,22.82
sydney,australia,1720.76,147.73,50.66,13.59,81.55,3.06,1.9,6.12,3.11,27.18,4683.94,University of Sydney,Biotechnology,PhD,4.0,31000.0,75.6,1700.0,450.0,650.0,1.52,79.93,128.25,43.94,46.84,False,36.74,22.82
townsville,australia,906.11,54.37,50.97,13.59,67.96,2.72,1.22,4.76,3.25,31.26,3058.11,James Cook University,Data Analytics,Master,2.0,31200.0,65.8,950.0,450.0,650.0,1.52,,,63.76,50.74,True,29.63,22.28
townsville,australia,906.11,54.37,50.97,13.59,67.96,2.72,1.22,4.76,3.25,31.26,3058.11,James Cook University,Computer Science,Bachelor,3.0,34200.0,65.2,1200.0,450.0,650.0,1.52,,,61.58,50.74,False,29.63,22.28
townsville,australia,906.11,54.37,50.97,13.59,67.96,2.72,1.22,4.76,3.25,31.26,3058.11,James Cook University,Computer Science,Master,2.0,37200.0,65.2,1200.0,450.0,650.0,1.52,,,59.39,50.74,False,29.63,22.28
townsville,australia,906.11,54.37,50.97,13.59,67.96,2.72,1.22,4.76,3.25,31.26,3058.11,James Cook University,Computer Science,PhD,4.0,27200.0,65.2,1200.0,450.0,650.0,1.52,,,66.67,50.74,False,29.63,22.28
wollongong,australia,1332.28,49.03,50.63,12.91,47.57,2.42,1.49,5.64,3.08,27.18,3307.29,University of Wollongong,Artificial Intelligence,Master,2.0,32900.0,67.2,1050.0,450.0,650.0,1.52,,,57.16,54.55,True,40.28,20.83
wollongong,australia,1332.28,49.03,50.63,12.91,47.57,2.42,1.49,5.64,3.08,27.18,3307.29,University of Wollongong,Computer Science,Bachelor,3.0,36800.0,65.8,1300.0,450.0,650.0,1.52,,,54.32,54.55,False,40.28,20.83
wollongong,australia,1332.28,49.03,50.63,12.91,47.57,2.42,1.49,5.64,3.08,27.18,3307.29,University of Wollongong,Computer Science,Master,2.0,39800.0,65.8,1300.0,450.0,650.0,1.52,,,52.14,54.55,False,40.28,20.83
wollongong,australia,1332.28,49.03,50.63,12.91,47.57,2.42,1.49,5.64,3.08,27.18,3307.29,University of Wollongong,Computer Science,PhD,4.0,29800.0,65.8,1300.0,450.0,650.0,1.52,,,59.42,54.55,False,40.28,20.83
wollongong,australia,1332.28,49.03,50.63,12.91,47.57,2.42,1.49,5.64,3.08,27.18,3307.29,University of Wollongong,Mathematics,PhD,4.0,28000.0,63.4,950.0,450.0,650.0,1.52,,,60.73,54.55,False,40.28,20.83
graz,austria,641.66,57.01,35.37,11.59,60.59,2.85,1.79,4.21,3.48,5.95,2324.49,TU Graz,Mechanical Engineering,Bachelor,3.0,1500.0,71.2,750.0,160.0,850.0,0.92,75.61,100.33,86.26,63.38,True,27.6,20.77
innsbruck,austria,862.75,52.69,37.92,15.81,65.86,2.85,2.0,4.21,3.37,6.01,1965.3,University of Innsbruck,Mechatronics,Master,2.0,1500.0,71.5,780.0,160.0,850.0,0.92,74.66,95.54,85.88,62.39,True,43.9,24.88
klagenfurt,austria,671.76,45.31,39.87,12.64,52.69,2.32,1.9,4.06,3.0,5.8,1742.19,University of Klagenfurt,Data Science,Master,2.0,1500.0,69.4,720.0,160.0,850.0,0.92,,,88.09,67.06,True,38.56,20.28
linz,austria,708.82,52.69,40.04,15.28,63.22,2.74,1.35,4.21,3.31,5.8,2221.9,Johannes Kepler University,Artificial Intelligence,Master,2.0,1500.0,70.4,700.0,160.0,850.0,0.92,77.8,99.34,86.65,65.34,True,31.9,24.07
salzburg,austria,994.74,42.15,32.2,15.28,63.22,2.63,2.08,4.64,3.81,6.32,2462.49,University of Salzburg,Data Analytics,Bachelor,3.0,1500.0,72.3,800.0,160.0,850.0,0.92,,,87.01,60.98,True,40.4,24.35
vienna,austria,997.3,34.77,34.15,15.81,63.22,2.53,1.8,4.74,3.89,6.32,2735.42,University of Vienna,Social Sciences,Bachelor,3.0,1500.0,67.4,950.0,160.0,500.0,0.92,70.86,104.56,88.25,61.77,True,36.46,24.76
vienna,austria,997.3,34.77,34.15,15.81,63.22,2.53,1.8,4.74,3.89,6.32,2735.42,TU Wien,Software Engineering,Master,2.0,1500.0,78.5,950.0,160.0,850.0,0.92,70.86,104.56,88.25,61.77,False,36.46,24.76
baku,azerbaijan,321.86,11.76,14.73,5.88,29.41,0.18,0.59,1.18,2.86,2.94,405.72,No University Listed,,,,,,,,,,29.41,34.29,94.97,85.7,True,79.33,9.1
nassau,bahamas,1050.0,60.0,92.61,25.0,100.0,1.25,2.86,3.75,5.31,11.0,1817.33,No University Listed,,,,,,,,,,,,77.18,52.31,True,57.78,32.81
manama,bahrain,967.04,37.13,47.66,5.3,53.05,0.8,2.65,7.96,4.49,5.97,2080.33,University of Bahrain,Software Engineering,Bachelor,4.0,7000.0,65.4,700.0,130.0,600.0,0.38,55.23,72.63,83.99,58.89,True,46.48,11.39
dhaka,bangladesh,142.09,18.53,21.9,1.95,11.71,0.41,0.39,5.85,1.95,3.12,280.73,Bangladesh University of Engineering,Computer Science,Master,2.0,2500.0,42.5,250.0,100.0,200.0,109.5,31.57,41.15,94.58,83.8,True,50.61,4.72
sylhet,bangladesh,56.09,29.26,19.51,1.95,5.85,0.49,0.39,4.63,1.66,2.93,204.84,SUST,Computer Engineering,PhD,4.0,2300.0,36.8,160.0,100.0,200.0,109.5,,,93.33,86.91,True,27.38,4.59
bridgetown,barbados,487.5,36.0,50.0,20.0,97.83,1.75,1.88,3.0,4.01,7.96,1333.33,No University Listed,,,,,,,,,,,,87.54,60.81,True,36.56,27.51
brest,belarus,185.04,17.02,11.38,7.92,25.73,0.32,0.5,0.94,1.6,1.98,421.37,No University Listed,,,,,,,,,,,,94.66,90.56,True,43.91,10.16
minsk,belarus,401.84,19.36,13.96,9.9,47.5,0.34,0.2,1.32,1.76,1.78,549.57,No University Listed,,,,,,,,,,34.07,46.29,92.43,88.06,True,73.12,12.34
antwerp,belgium,854.46,51.63,52.69,15.81,79.03,2.63,2.11,4.21,3.32,8.06,2510.02,University of Antwerp,Computer Science,PhD,4.0,3700.0,71.2,800.0,180.0,800.0,0.92,74.88,97.3,84.5,60.14,True,34.04,24.39
bruges,belgium,680.72,21.07,46.1,15.81,76.4,3.06,2.63,3.69,3.09,5.27,2107.49,No University Listed,,,,,,,,,,,,89.89,60.55,True,32.3,25.02
brussels,belgium,984.93,52.69,51.82,15.81,73.76,2.53,2.11,5.27,3.34,7.9,2798.0,KU Leuven,Biomedical Sciences,Bachelor,3.0,3500.0,68.9,1000.0,180.0,550.0,0.92,75.69,100.24,83.81,59.57,True,35.2,24.21
brussels,belgium,984.93,52.69,51.82,15.81,73.76,2.53,2.11,5.27,3.34,7.9,2798.0,Vrije Universiteit Brussel,Robotics,Master,2.0,3600.0,75.4,900.0,180.0,800.0,0.92,75.69,100.24,83.74,59.57,False,35.2,24.21
gent,belgium,881.63,51.63,45.01,16.86,81.67,2.32,2.27,4.21,3.31,8.43,2192.42,No University Listed,,,,,,,,,,75.27,94.77,80.58,59.99,True,40.21,24.81
leuven,belgium,854.72,38.64,44.03,15.81,79.03,2.63,2.63,4.58,3.29,7.64,2535.51,KU Leuven,Artificial Intelligence,PhD,4.0,3800.0,76.5,950.0,180.0,800.0,0.92,74.58,96.92,86.63,58.29,True,33.71,24.36
liege,belgium,632.25,39.78,49.38,15.81,57.96,2.63,2.45,3.95,2.9,7.9,2162.64,University of Liege,Data Science,PhD,4.0,3600.0,68.9,720.0,180.0,800.0,0.92,,,87.7,63.17,True,29.24,23.97
belize city,belize,331.38,20.0,96.25,7.97,50.0,1.5,4.0,2.0,4.24,4.0,998.65,No University Listed,,,,,,,,,,,,92.8,63.18,True,33.18,15.21
hamilton,bermuda,3250.0,69.0,142.0,29.0,150.0,4.0,3.0,9.0,5.61,17.62,5973.81,No University Listed,,,,,,,,,,137.56,114.19,58.28,26.82,True,54.4,42.61
thimphu,bhutan,171.76,15.34,20.5,3.08,18.45,1.29,0.15,9.92,1.32,6.15,366.55,No University Listed,,,,,,,,,,,,95.19,75.9,True,46.86,6.98
cochabamba,bolivia,273.03,0.0,59.78,2.89,18.8,0.29,1.45,1.74,2.66,2.89,503.29,No University Listed,,,,,,,,,,,,98.33,83.73,True,54.25,6.13
